CPU,RAM,Time
10.8,65.2,Sat Apr 10 17:20:34 2021
25.0,65.3,Sat Apr 10 17:20:34 2021
7.1,65.4,Sat Apr 10 17:20:35 2021
26.7,65.7,Sat Apr 10 17:20:35 2021
26.0,65.8,Sat Apr 10 17:20:35 2021
23.3,65.8,Sat Apr 10 17:20:35 2021
8.3,65.9,Sat Apr 10 17:20:35 2021
8.3,65.9,Sat Apr 10 17:20:35 2021
20.0,66.0,Sat Apr 10 17:20:35 2021
8.3,66.0,Sat Apr 10 17:20:35 2021
17.9,66.3,Sat Apr 10 17:20:35 2021
9.6,66.3,Sat Apr 10 17:20:36 2021
9.3,66.4,Sat Apr 10 17:20:36 2021
15.5,66.4,Sat Apr 10 17:20:36 2021
13.1,66.4,Sat Apr 10 17:20:36 2021
9.5,66.4,Sat Apr 10 17:20:36 2021
8.3,66.4,Sat Apr 10 17:20:36 2021
8.5,66.4,Sat Apr 10 17:20:36 2021
