epoch,train_loss,test_loss,test_accuracy
1,0.5123323798179626,0.3323044677734375,0.906
2,0.2457534372806549,0.2503813751220703,0.9254
3,0.13912031054496765,0.21006292724609374,0.9379
4,0.0940764993429184,0.1767068115234375,0.9475
5,0.4318615794181824,0.15111937789916993,0.955
6,0.11770453304052353,0.13381761016845703,0.9605
7,0.14596165716648102,0.12454588317871093,0.9634
8,0.21025851368904114,0.11225261383056641,0.966
9,0.1433710753917694,0.10452272644042969,0.967
10,0.19294291734695435,0.09734798965454101,0.9694
